Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22;out/22;nov/22;dez/22
151;NOVELIS;NOVELIS DO BRASIL LTDA.;60.561.800/0001-03;37.136,553;33.193,235;38.014,234;37.300,631;38.299,989;28.560,073;38.227,877;38.401,078;37.001,271;37.270,420;36.643,876;36.315,279
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;03.461.875/0001-89;28.884,318;27.103,150;29.438,977;27.594,848;25.489,414;24.610,888;30.841,789;30.087,411;27.868,419;18.718,980;25.075,763;25.564,491
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;00.057.240/0001-22;28.730,217;25.622,223;30.701,420;30.164,166;29.939,553;32.463,106;32.244,971;32.908,418;29.755,781;31.787,192;28.146,314;28.699,372
1046;DURA UBE;DEXCO S.A;97.837.181/0001-47;12.784,487;11.814,552;11.696,994;11.911,999;13.649,065;10.018,148;13.074,238;13.230,985;12.601,465;13.072,390;11.974,933;9.943,221
1051;SABESP;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;136.219,498;123.304,815;139.376,614;138.400,338;150.165,361;143.214,580;148.559,226;148.480,574;142.988,066;146.964,133;140.593,640;147.001,623
1052;APERAM;APERAM INOX AMERICA DO SUL S.A.;33.390.170/0001-89;39.147,570;48.166,332;61.432,844;61.154,745;62.664,874;58.115,048;64.510,120;62.947,587;61.810,145;61.947,498;59.297,607;47.668,714
1053;BELGO CONT;BELGO BEKAERT ARAMES LTDA;61.074.506/0001-30;8.843,429;9.722,584;10.050,910;9.579,009;9.755,052;9.970,569;9.826,072;9.270,733;9.089,686;9.055,483;9.067,034;7.131,975
1056;ARCELOR JF;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;335.401,657;310.632,589;338.486,926;295.042,332;360.219,289;315.923,349;329.037,989;333.618,557;286.271,203;311.131,722;267.010,203;202.864,669
1058;BMB VESP;BMB BELGO MINEIRA BEKAERT ARTEFATOS DE ARAME LTDA;18.786.988/0001-21;17.229,894;15.973,759;16.845,018;16.942,500;16.982,494;15.956,150;16.622,160;16.578,703;16.579,839;16.886,952;15.257,817;11.847,977
1060;CBMM;COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO;33.131.541/0001-08;29.364,797;38.617,492;40.622,474;42.842,775;39.402,271;33.255,840;37.655,718;40.183,969;24.981,683;30.532,855;40.736,917;6.299,018
1061;ICAL;ICAL INDUSTRIA DE CALCINACAO LTDA EM RECUPERACAO JUDICIAL;17.157.264/0001-56;6.829,775;6.206,163;6.440,107;6.668,379;7.308,676;7.241,538;7.426,072;7.536,436;7.414,610;7.844,571;6.693,802;7.141,848
1065;FUNDIMIG;FUNDIMIG INDUSTRIA DE PECAS E COMPONENTES LTDA;17.381.542/0001-54;3.962,109;3.863,207;4.452,413;3.821,728;4.121,436;4.139,194;4.201,712;4.392,343;4.126,156;3.667,081;4.239,574;3.618,517
1066;INTERCAST;INTERCAST S/A;02.326.750/0001-83;2.662,209;4.045,195;4.808,318;4.808,767;5.117,425;5.335,362;4.843,354;5.304,883;5.166,456;4.869,023;5.101,108;4.280,683
1067;FERLIG;FERLIG FERRO LIGA LTDA - EM RECUPERACAO JUDICIAL;22.482.228/0001-06;6.122,551;5.365,232;6.265,840;6.620,521;7.688,884;7.694,373;7.850,801;8.068,955;7.745,137;7.697,617;7.121,627;6.382,669
1068;LIASA;LIGAS DE ALUMINIO SA LIASA;17.221.771/0001-01;65.212,370;46.577,129;50.155,411;49.188,275;48.992,236;49.180,863;50.252,163;55.420,523;69.409,529;69.821,155;46.348,175;73.097,124
1072;MAGOTTEAUX;MAGOTTEAUX BRASIL LTDA;43.790.666/0001-01;7.667,030;7.271,689;8.147,473;7.578,137;7.724,797;7.813,327;8.393,183;7.475,616;7.961,847;7.542,591;7.729,267;6.029,982
1074;FLAMMA AUTOMOTIVA;FLAMMA AUTOMOTIVA S/A;01.002.612/0001-86;1.272,933;1.272,520;1.504,103;1.288,994;1.469,116;1.456,199;1.490,136;1.578,985;1.551,926;1.538,369;1.474,524;1.380,934
1079;ANGLOGOLD CSM;ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.;18.565.382/0001-66;28.113,218;27.626,123;30.909,274;27.255,130;27.372,088;29.526,341;29.789,957;30.178,981;29.200,208;29.452,561;29.914,748;29.073,706
1080;TUPI;CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL;33.039.223/0001-11;10.030,774;13.498,112;16.086,866;16.423,923;13.972,437;18.620,882;18.320,516;17.765,658;12.259,323;17.323,469;16.193,377;10.223,864
1082;UMSA;USIMINAS MECANICA SA;17.500.224/0001-65;317,480;249,707;290,099;285,530;298,228;282,217;312,187;315,301;323,588;348,549;356,334;343,104
1083;UNIFI;UNIFI DO BRASIL LTDA.;03.013.973/0001-53;6.012,480;6.866,280;7.531,862;7.182,936;7.807,322;7.469,129;7.272,890;7.421,003;7.542,308;8.310,266;7.718,651;6.682,477
1085;INONIBRAS;INONIBRAS INOCULANTES E FERRO LIGAS NIPO BRASILEIROS SA;18.891.036/0001-78;4.534,570;4.129,535;4.421,673;4.290,511;4.204,194;4.231,624;4.511,778;4.446,084;4.245,921;4.631,320;7.790,855;8.876,407
1086;WHITE MARTINS;WHITE MARTINS GASES INDUSTRIAIS LTDA;35.820.448/0001-36;158.705,852;151.885,983;171.137,062;166.619,566;173.480,705;162.991,964;164.285,982;166.674,665;159.081,010;162.762,876;157.580,441;158.476,680
1087;MERCEDES-BENZ;MERCEDES-BENZ DO BRASIL LTDA.;59.104.273/0037-30;4.175,199;3.872,892;4.461,554;3.313,114;4.051,312;3.789,147;3.258,562;4.154,067;3.755,099;4.017,482;3.776,597;3.348,719
1089;CEDRO SANTO;COMPANHIA DE FIACAO E TECIDOS SANTO ANTONIO;25.582.727/0001-55;6.360,956;6.103,920;7.018,017;6.447,867;6.425,937;5.844,157;6.095,132;6.467,556;6.288,850;6.160,731;3.828,869;3.646,765
1090;ECLSA;EMPRESA DE CIMENTOS LIZ S.A;33.920.299/0003-13;20.112,323;14.517,872;20.140,201;20.781,969;25.594,670;19.934,254;22.250,813;25.815,454;16.852,280;21.802,978;19.081,458;17.242,270
1091;NEMAK;NEMAK ALUMINIO DO BRASIL LTDA;04.721.073/0001-23;3.265,329;3.274,827;4.266,485;4.005,403;4.047,535;4.000,868;4.068,672;4.229,220;4.206,426;4.341,899;4.101,285;3.502,820
1092;PRYSMIAN CABOS;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61.150.751/0002-60;76,259;61,990;74,396;73,911;70,715;70,627;71,489;87,652;83,505;84,662;71,071;73,305
1097;SG CANALIZACAO ITAUNA;SAINT-GOBAIN CANALIZACAO LTDA;28.672.087/0075-07;1.894,276;1.810,169;2.069,495;1.701,827;2.051,045;1.961,593;1.822,912;1.935,914;1.650,892;1.019,092;1.815,530;1.743,529
1098;JOST;JOST BRASIL SISTEMAS AUTOMOTIVOS LTDA;00.843.966/0001-90;264,922;280,383;319,599;265,803;266,443;253,559;261,064;294,760;254,868;266,114;267,992;220,085
1104;BRASKEM;BRASKEM S.A;42.150.391/0001-70;180.416,307;186.212,551;201.581,328;187.597,813;118.881,715;166.269,182;170.533,955;190.032,986;171.001,773;151.354,081;139.828,276;154.671,193
1106;MINASLIGAS;MINASLIGAS S.A.;16.933.590/0001-45;85.620,571;77.567,955;87.015,310;84.309,469;84.881,401;83.457,634;83.206,085;84.081,871;81.415,044;84.672,591;74.888,718;82.354,885
1108;TEKSID;TEKSID DO BRASIL LTDA;16.694.812/0001-14;24.927,014;23.669,568;26.217,352;23.574,088;3.593,745;3.347,219;3.457,956;3.719,506;3.462,020;3.534,984;3.496,092;3.138,159
1109;KINROSS;KINROSS BRASIL MINERACAO S/A;20.346.524/0001-46;95.966,498;73.830,037;99.773,376;91.596,011;97.359,578;92.799,149;91.940,196;89.592,860;93.903,335;91.563,797;96.030,925;98.637,484
1112;IBG;IBG INDUSTRIA BRASILEIRA DE GASES LTDA;67.423.152/0001-78;4.353,958;3.454,463;4.338,727;3.198,678;4.108,739;3.171,923;4.223,043;3.785,081;3.665,871;3.971,347;3.473,301;3.406,170
1124;CARAMURU;CARAMURU ALIMENTOS  S/A;00.080.671/0001-00;3.688,688;4.262,180;4.755,040;4.206,557;4.451,899;4.160,390;4.210,986;4.086,460;3.995,235;3.157,781;3.551,672;4.028,893
1127;GUARDIAN;GUARDIAN DO BRASIL VIDROS PLANOS LTDA;01.410.577/0001-34;3.024,161;2.700,161;2.991,253;2.846,522;2.740,207;2.600,157;2.677,930;2.728,211;2.572,811;2.652,040;2.804,096;2.849,625
1131;SERRA GRANDE;MINERACAO SERRA GRANDE S A;42.445.403/0001-94;10.397,353;9.408,869;10.621,034;10.333,882;10.316,904;9.682,646;9.540,322;9.754,039;9.792,609;9.927,207;9.874,172;10.740,021
1133;PROCTER&GAMBLE;PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA;01.358.874/0001-88;201,060;191,563;208,888;177,613;169,741;149,600;153,564;166,810;151,797;179,986;172,437;180,436
1135;ROMI;ROMI S.A.;56.720.428/0001-63;4.802,431;6.783,426;7.152,849;6.372,620;6.939,004;6.408,832;6.727,163;7.617,989;7.574,914;7.275,843;6.726,475;5.314,308
1141;CEMIG DISTRIB;CEMIG DISTRIBUICAO S.A;06.981.180/0001-16;2.510.364,419;2.278.661,580;2.705.747,005;2.572.376,413;2.580.309,783;2.485.479,817;2.546.882,481;2.584.275,469;2.544.463,982;2.661.911,331;2.362.709,402;2.404.796,659
1142;ARCOR;ARCOR DO BRASIL LTDA.;54.360.656/0017-01;1.507,035;1.405,111;1.585,480;1.415,657;1.459,794;1.348,916;1.409,068;1.460,426;1.421,346;1.492,096;1.447,516;1.422,352
1144;TEXTILCANATIBA;TEXTIL CANATIBA LTDA;56.723.091/0001-48;5.451,947;10.822,120;12.158,991;11.694,652;11.818,116;11.769,422;12.094,418;12.396,335;12.057,948;10.077,715;9.444,293;5.766,535
1145;PAPEIS SUDESTE;INDUSTRIA DE PAPEIS SUDESTE LTDA EM RECUPERACAO JUDICIAL;02.886.413/0004-93;4.824,909;4.699,972;7.248,991;6.934,635;6.926,696;7.095,268;7.199,982;7.569,981;7.437,755;7.735,553;7.494,302;8.165,694
1148;HOLCIM;CSN CIMENTOS BRASIL S.A.;60.869.336/0001-17;26.345,059;24.959,512;33.690,530;27.079,516;31.667,383;29.174,564;33.802,321;27.267,563;30.002,721;30.849,320;27.401,117;29.144,709
1149;SAMARCO;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16.628.281/0001-61;28.507,074;27.636,845;31.204,962;31.623,592;25.420,369;29.538,311;29.744,911;29.860,917;30.821,379;29.300,083;29.269,895;32.227,063
1150;MICHELIN;SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO LTDA;50.567.288/0001-59;30.220,104;28.862,635;32.495,499;28.997,130;30.178,878;29.111,509;29.044,787;29.584,212;27.631,790;28.546,203;27.016,284;21.838,046
1151;STOLA;STOLA DO BRASIL LTDA;02.069.153/0001-10;709,014;559,210;507,502;391,588;371,401;319,793;239,901;165,937;252,539;255,867;174,835;219,957
1156;FIAT AUTO;FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;14.095,630;15.574,607;17.071,636;15.518,775;16.374,316;12.874,914;15.929,544;16.987,904;16.312,105;16.693,169;15.096,436;14.472,294
1158;GRANHA1;GRANHA LIGAS LTDA;05.833.746/0001-08;21.324,889;18.572,855;22.759,234;22.120,544;21.499,821;21.866,378;22.695,155;21.788,349;19.122,224;17.795,572;21.002,412;22.760,902
1159;CARGILL ULA;CARGILL AGRICOLA S A;60.498.706/0134-88;8.176,093;5.844,807;14.743,002;6.867,366;7.617,585;7.075,011;6.626,028;7.534,637;7.170,007;13.357,373;14.847,047;8.825,827
1160;OXITENO;OXITENO S A INDUSTRIA E COMERCIO;62.545.686/0001-53;4.578,340;4.151,089;4.663,477;4.405,510;2.612,789;4.009,704;4.233,119;4.151,179;3.911,239;4.202,422;3.739,017;3.806,571
1162;TRAMONTINA CL;TRAMONTINA SA CUTELARIA;90.050.238/0001-14;5.644,392;6.627,505;7.478,021;6.137,510;7.249,906;6.665,583;6.258,957;6.614,747;6.348,991;5.727,550;5.864,352;5.388,122
1164;RIAL;RIMA INDUSTRIAL S/A;18.279.158/0001-08;123.339,242;111.971,410;133.360,754;130.759,569;135.312,421;132.401,596;136.008,366;135.068,592;125.839,270;140.871,945;115.345,876;139.298,427
1165;TRANSPETRO;PETROBRAS TRANSPORTE S.A - TRANSPETRO;02.709.449/0001-59;36.527,644;35.610,113;38.723,285;37.882,373;37.883,083;36.804,352;39.640,066;36.516,849;31.731,254;41.158,656;39.045,048;37.516,686
1167;BELOCAL;MINERACAO BELOCAL LTDA;06.730.693/0001-54;9.435,336;8.807,477;10.304,664;10.144,362;10.189,249;10.055,805;10.493,504;10.352,036;10.202,029;10.174,429;0,000;0,000
1183;CIC MATRIZ;COMPANHIA INDUSTRIAL CATAGUASES;19.526.748/0001-50;1.670,220;2.377,872;2.738,486;2.565,256;2.890,279;2.686,131;2.726,742;2.727,823;2.588,077;2.554,450;2.387,584;1.359,689
1185;RIO DOCE;VALE MANGANES S.A;15.144.306/0001-99;360,368;319,065;347,509;327,856;323,273;297,175;255,626;260,259;248,685;261,831;254,115;268,286
1187;CATERPILLAR;CATERPILLAR BRASIL LTDA;61.064.911/0001-77;4.432,859;4.119,414;4.784,082;4.346,688;4.077,332;3.362,837;4.157,037;4.589,955;4.340,780;4.675,838;4.432,481;3.724,485
1189;PILKINGTON;PILKINGTON BRASIL LTDA;61.736.732/0001-39;5.662,988;5.869,961;6.359,113;6.195,900;6.366,011;6.402,482;6.485,900;7.195,835;6.849,475;7.266,228;6.915,516;5.085,263
1190;MERCEDES SBC;MERCEDES-BENZ DO BRASIL LTDA.;59.104.273/0001-29;10.795,691;11.016,222;12.578,934;9.380,749;11.703,472;11.508,613;10.554,185;12.267,453;11.001,857;11.664,028;11.325,419;9.803,036
1199;ZF ENGENHEIRO COELHO;ZF AUTOMOTIVE BRASIL LTDA.;60.857.349/0001-76;4.195,735;4.862,515;5.677,722;5.370,895;5.796,355;5.919,340;6.027,540;5.773,064;6.207,437;5.841,117;6.190,907;4.373,858
1204;NITROQUIMICA;COMPANHIA NITRO QUIMICA BRASILEIRA;61.150.348/0001-50;2.602,109;2.934,501;1.830,481;2.200,125;1.856,135;1.788,813;2.392,298;1.916,186;1.941,935;2.151,510;1.995,188;1.941,239
1207;NADIR FIGUEIREDO;NADIR FIGUEIREDO S.A.;61.067.161/0001-97;12.732,057;10.336,180;12.230,523;10.836,721;10.382,398;10.331,490;11.145,851;11.109,384;11.534,105;12.954,610;13.269,631;13.437,315
1211;KARSTEN;KARSTEN S.A.;82.640.558/0001-04;4.644,478;4.290,359;4.658,622;3.365,267;3.854,632;3.922,741;4.264,444;4.696,665;4.564,736;4.705,693;4.308,521;3.191,965
1212;PLASTIPAK PAULINIA;PLASTIPAK PACKAGING DO BRASIL LTDA;01.115.825/0001-14;3.052,559;2.853,493;3.054,749;2.936,292;3.148,569;3.186,146;2.949,669;3.170,268;3.000,082;3.149,804;2.913,441;3.043,279
1213;UNIMINAS AGRO;UNIMINAS AGRO-INDUSTRIAL LTDA;02.236.833/0001-81;980,574;900,876;1.109,256;1.014,676;1.130,757;1.107,238;1.035,163;1.185,576;1.029,214;1.055,131;938,223;470,668
1215;METRO SP;COMPANHIA DO METROPOLITANO DE SAO PAULO;62.070.362/0001-06;36.487,089;34.338,464;39.464,030;35.740,177;36.303,389;34.090,080;35.247,456;35.402,345;33.749,375;36.174,463;34.094,395;36.032,990
1217;PLASCAR;PLASCAR INDUSTRIA DE COMPONENTES PLASTICOS LTDA;50.935.576/0001-19;2.252,172;2.572,819;2.865,567;2.491,423;2.776,333;2.741,296;2.849,247;3.156,808;3.120,428;3.250,086;3.430,230;3.247,719
1218;NESTLE ARACATUBA CL;NESTLE BRASIL LTDA.;60.409.075/0001-52;4.218,920;3.871,218;4.031,166;4.104,693;4.246,322;3.843,810;4.051,325;4.115,717;4.070,242;4.300,502;3.655,425;4.249,687
1219;PETROM;PETROM PETROQUIMICA MOGI DAS CRUZES S/A;02.340.752/0001-27;2.641,236;3.176,091;3.515,674;3.529,001;3.776,769;4.171,911;3.243,967;3.100,533;3.413,588;3.994,647;3.489,574;2.298,456
1225;CSN SIDERURGIC;COMPANHIA SIDERURGICA NACIONAL;33.042.730/0001-04;2.749,693;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1232;TEKNO;TEKNO S.A. INDUSTRIA E COMERCIO;33.467.572/0001-34;779,760;846,387;1.209,841;1.178,856;1.044,991;1.063,285;915,415;1.016,157;860,108;792,781;949,834;860,802
1235;J E J;JOHNSON & JOHNSON INDUSTRIAL LTDA;59.748.988/0001-14;7.636,543;6.946,538;7.412,123;6.868,328;6.487,778;5.965,040;6.151,154;6.550,217;6.446,475;7.014,764;6.593,411;5.442,504
1241;SCHAEFFLER;SCHAEFFLER BRASIL LTDA.;57.000.036/0001-92;6.760,061;6.363,494;7.355,709;6.687,117;7.005,493;6.808,684;6.897,132;7.185,613;6.806,182;6.891,432;6.778,359;5.485,924
1242;VOLVO;VOLVO DO BRASIL VEICULOS LTDA;43.999.424/0001-14;3.011,814;3.507,697;3.767,405;3.463,764;3.740,424;3.552,073;3.668,810;3.773,468;3.443,466;3.548,218;3.417,700;3.835,206
1243;CEBRACE;CEBRACE CRISTAL PLANO LTDA;45.070.190/0001-51;11.647,578;11.869,095;12.227,617;10.845,458;11.454,313;10.966,146;12.613,731;12.984,547;11.533,264;12.040,223;12.105,801;11.869,480
1244;MONDELEZ;MONDELEZ BRASIL LTDA;33.033.028/0001-84;9.028,567;8.341,532;9.072,070;7.991,560;8.189,717;7.848,226;8.199,114;8.312,444;8.119,128;8.760,033;8.657,136;8.568,367
1245;AJINOMOTO 1;AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;46.344.354/0001-54;24.323,015;20.269,586;23.102,423;23.807,362;24.894,924;22.156,848;22.565,642;23.995,331;23.201,289;21.310,301;22.510,194;22.717,243
1252;PRYSMIAN SORO;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61.150.751/0091-35;2.834,630;2.845,707;3.018,762;2.785,960;2.847,418;2.723,395;2.854,852;2.889,516;2.788,411;2.904,143;2.800,424;2.239,045
1253;PPE FIOS;PPE FIOS ESMALTADOS S.A;62.255.682/0001-30;3.217,489;3.231,931;3.733,205;3.616,619;3.708,634;3.495,128;3.678,081;3.846,016;3.729,151;3.814,701;3.621,658;3.500,058
1254;NATURA;INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA;00.190.373/0001-72;2.555,085;2.560,747;2.988,182;2.775,490;2.472,086;2.394,938;2.427,843;2.342,927;2.362,410;2.682,817;2.625,261;2.654,076
