Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21
39;CVRD;VALE S.A.;33.592.510/0001-54;305.036,111;295.702,031;302.049,610;295.580,611;325.558,285;313.351,109;332.490,394;291.720,837;284.767,865;330.944,503;327.540,831;358.457,733
46;ELEKTRO;ELEKTRO REDES S.A.;02.328.280/0001-97;1.236.596,145;1.121.893,295;1.227.731,303;1.036.060,467;1.041.102,476;990.654,134;1.035.139,568;1.076.005,397;1.121.870,062;1.012.408,026;1.055.361,142;1.110.226,330
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A ELETRONORTE;00.357.038/0001-16;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;61.695.227/0001-93;3.099.011,451;2.846.184,603;3.112.233,169;2.775.427,947;2.886.299,220;2.782.642,366;2.816.266,171;2.909.552,312;2.825.070,054;2.828.015,971;2.824.556,877;2.902.943,309
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;13.017.462/0001-63;290.108,874;271.619,528;302.279,998;278.066,070;262.852,846;246.436,618;245.348,848;235.615,879;246.901,258;271.936,328;271.691,221;279.079,487
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;15.413.826/0001-50;460.142,827;440.130,430;511.088,526;441.322,895;398.461,999;356.646,664;351.878,394;409.643,590;473.778,150;431.213,878;468.419,172;518.227,644
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;28.152.650/0001-71;734.221,917;611.463,739;697.034,717;615.613,839;638.282,665;585.570,548;590.610,788;594.518,184;621.832,626;606.531,937;561.796,181;616.739,481
56;FURNAS;FURNAS-CENTRAIS ELETRICAS S.A.;23.274.194/0001-19;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;53.859.112/0001-69;29.652,747;27.097,818;29.343,077;24.055,596;24.727,704;24.050,476;25.176,480;25.576,759;26.258,939;23.485,613;23.902,875;23.637,449
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;60.444.437/0001-46;2.883.864,535;2.371.413,003;2.764.250,645;2.096.330,369;1.929.802,173;1.751.443,460;1.657.423,597;1.829.406,720;1.954.590,445;1.878.338,012;1.924.765,481;2.260.784,322
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;09.095.183/0001-40;429.815,866;380.921,096;398.104,263;377.836,759;372.374,724;356.296,179;362.018,966;360.312,305;385.043,168;417.909,419;422.313,466;431.166,716
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;61.409.892/0001-73;397.301,652;353.920,610;403.955,922;411.164,340;424.901,142;415.016,822;419.867,558;401.847,271;410.402,738;427.927,392;420.637,011;430.323,782
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;04.368.898/0001-06;1.952.728,864;1.817.863,162;2.033.514,372;1.779.674,302;1.760.276,156;1.691.382,577;1.730.897,047;1.792.223,257;1.794.683,436;1.711.876,717;1.828.934,876;1.978.463,383
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;04.172.213/0001-51;852.787,370;778.738,345;865.910,918;722.186,043;722.975,775;688.875,158;695.350,419;717.150,235;717.797,226;711.245,148;731.052,673;774.844,663
102;ALCOA;ALCOA ALUMINIO S/A;23.637.697/0001-01;10.999,709;10.304,722;10.516,034;19.908,285;21.626,247;10.616,259;12.948,234;0,000;0,000;0,000;0,000;0,000
103;DMED;DME DISTRIBUICAO S.A. - DMED;23.664.303/0001-04;25.876,372;23.571,008;25.932,013;24.403,207;25.867,820;25.171,002;26.207,871;26.173,783;25.620,094;25.698,686;24.840,316;25.390,254
146;DCELT;DCELT - DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA LTDA;83.855.973/0001-30;18.495,984;17.084,414;19.559,048;17.482,586;18.128,377;18.482,023;18.624,742;18.106,001;17.236,756;16.932,843;17.694,978;19.667,349
151;NOVELIS;NOVELIS DO BRASIL LTDA.;60.561.800/0001-03;38.079,413;33.158,323;39.821,806;36.458,822;36.562,776;35.150,172;35.445,042;28.917,084;34.635,519;37.845,768;33.036,397;37.217,715
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;03.461.875/0001-89;25.807,491;25.720,433;28.239,616;25.480,673;27.223,540;27.110,123;26.872,659;30.458,562;24.329,870;32.598,799;34.904,029;31.614,724
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;00.057.240/0001-22;27.307,674;26.501,037;28.422,180;27.570,932;32.188,449;31.213,287;31.083,457;28.576,551;27.842,033;31.520,837;30.401,232;26.922,873
1044;ADM;ADM DO BRASIL LTDA;02.003.402/0001-75;12.225,415;16.634,205;20.138,009;19.273,541;17.628,823;18.345,153;8.717,369;6.387,631;0,000;0,000;0,000;0,000
1046;DURA UBE;DEXCO S.A;97.837.181/0001-47;10.869,239;10.536,961;13.219,776;12.411,617;13.063,162;12.534,473;10.904,998;12.720,284;12.981,321;13.283,480;13.012,691;13.550,955
1051;SABESP;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;132.196,304;121.305,940;137.846,865;145.403,742;148.806,799;141.841,089;146.454,978;148.117,593;128.765,490;128.628,197;136.674,499;142.785,636
1052;APERAM;APERAM INOX AMERICA DO SUL S.A.;33.390.170/0001-89;63.444,487;56.788,800;64.128,355;62.834,368;63.872,251;49.509,178;65.656,128;57.601,922;61.341,287;63.385,668;61.252,827;53.339,072
1053;BELGO CONT;BELGO BEKAERT ARAMES LTDA;61.074.506/0001-30;10.898,263;10.618,629;12.097,498;11.546,978;11.862,076;11.775,374;11.747,828;11.081,031;10.663,191;10.412,328;9.776,983;8.498,396
1056;ARCELOR JF;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;326.551,841;294.515,537;325.753,492;307.482,520;328.042,099;331.165,467;299.521,335;323.755,262;309.623,970;321.436,837;336.645,668;273.965,168
1058;BMB VESP;BMB BELGO MINEIRA BEKAERT ARTEFATOS DE ARAME LTDA;18.786.988/0001-21;17.301,599;16.123,660;18.251,540;18.179,707;18.581,858;17.747,244;18.198,068;18.551,936;17.957,588;18.399,245;18.152,020;17.868,321
1060;CBMM;COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO;33.131.541/0001-08;25.104,869;29.884,015;29.225,748;32.581,898;35.772,967;29.458,491;32.885,556;36.613,076;38.592,236;38.219,207;37.847,753;19.502,120
1061;ICAL;ICAL INDUSTRIA DE CALCINACAO LTDA EM RECUPERACAO JUDICIAL;17.157.264/0001-56;6.675,593;6.312,388;7.008,551;7.393,395;8.145,317;7.508,296;7.888,230;7.703,530;7.410,859;7.196,173;7.068,903;7.120,322
1065;FUNDIMIG;FUNDIMIG INDUSTRIA DE PECAS E COMPONENTES LTDA;17.381.542/0001-54;3.274,414;3.409,654;4.178,315;3.702,033;4.118,913;3.876,774;3.802,606;4.094,630;4.053,954;3.592,064;3.854,979;3.830,735
1066;INTERCAST;INTERCAST S/A;02.326.750/0001-83;3.762,519;3.909,122;4.479,037;4.209,297;4.224,244;4.467,576;4.204,543;4.490,084;4.124,953;4.712,980;4.688,742;3.897,337
1067;FERLIG;FERLIG FERRO LIGA LTDA - EM RECUPERACAO JUDICIAL;22.482.228/0001-06;6.875,525;5.815,611;6.471,975;7.039,059;7.425,691;6.981,994;7.371,560;7.360,827;6.373,955;7.206,545;7.024,941;6.853,047
1068;LIASA;LIGAS DE ALUMINIO SA LIASA;17.221.771/0001-01;72.424,430;64.033,423;70.689,559;69.016,292;70.282,511;70.110,937;71.185,915;71.029,744;68.687,347;54.271,332;57.915,750;69.149,218
1072;MAGOTTEAUX;MAGOTTEAUX BRASIL LTDA;43.790.666/0001-01;6.278,024;6.228,640;7.832,236;7.769,866;7.467,532;7.773,886;8.171,420;7.329,870;7.507,406;7.869,809;7.256,485;7.035,494
1074;FLAMMA AUTOMOTIVA;FLAMMA AUTOMOTIVA S/A;01.002.612/0001-86;1.327,267;1.254,017;1.442,244;1.316,573;1.394,577;1.335,813;1.419,387;1.417,985;1.349,185;1.331,623;1.340,237;1.330,640
1078;THYSSEN METAL;THYSSENKRUPP METALURGICA SANTA LUZIA LTDA;18.206.524/0001-07;1.661,002;1.721,015;1.643,051;332,182;350,594;908,072;1.176,557;0,000;0,000;0,000;0,000;0,000
1079;ANGLOGOLD CSM;ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.;18.565.382/0001-66;27.684,580;26.145,504;29.224,122;28.530,754;28.962,679;30.740,028;27.750,786;28.830,857;27.921,556;29.308,808;29.328,814;30.633,638
1080;TUPI;CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL;33.039.223/0001-11;13.204,571;12.625,544;17.871,904;16.694,868;13.287,150;12.551,437;17.634,043;15.678,036;12.584,631;15.657,790;13.410,057;12.949,188
1082;UMSA;USIMINAS MECANICA SA;17.500.224/0001-65;278,621;253,380;275,394;266,538;262,593;231,376;238,425;267,522;284,303;271,499;281,193;323,393
1083;UNIFI;UNIFI DO BRASIL LTDA.;03.013.973/0001-53;7.485,093;6.521,619;7.259,945;6.514,395;6.529,142;5.246,177;6.380,121;6.909,745;6.817,523;6.967,467;6.550,581;5.636,364
1085;INONIBRAS;INONIBRAS INOCULANTES E FERRO LIGAS NIPO BRASILEIROS SA;18.891.036/0001-78;4.520,590;4.121,041;4.601,695;4.452,375;4.692,646;4.550,967;4.665,482;4.715,000;4.524,449;4.657,496;4.552,507;4.649,106
1086;WHITE MARTINS;WHITE MARTINS GASES INDUSTRIAIS LTDA;35.820.448/0001-36;165.384,440;153.981,219;172.350,467;171.370,363;179.704,226;171.980,300;172.513,995;167.832,883;167.802,167;168.310,935;159.745,976;166.053,393
1087;MERCEDES-BENZ;MERCEDES-BENZ DO BRASIL LTDA.;59.104.273/0037-30;4.398,169;4.025,644;4.078,149;3.963,813;4.166,839;4.240,511;4.131,732;4.156,930;4.039,981;4.231,522;4.148,210;3.747,122
1089;CEDRO SANTO;COMPANHIA DE FIACAO E TECIDOS SANTO ANTONIO;25.582.727/0001-55;6.290,702;6.172,098;6.748,513;4.891,713;6.135,198;6.055,611;6.434,070;6.839,364;6.720,934;6.842,076;6.496,546;5.752,919
1090;ECLSA;EMPRESA DE CIMENTOS LIZ S.A;33.920.299/0003-13;22.376,615;18.933,566;18.565,517;23.237,363;24.483,317;20.585,357;24.347,697;25.152,310;18.158,421;20.938,210;22.764,281;23.345,949
1091;NEMAK;NEMAK ALUMINIO DO BRASIL LTDA;04.721.073/0001-23;4.938,007;4.425,802;4.194,799;3.817,564;3.998,401;3.184,779;2.893,693;3.002,808;2.447,101;3.154,393;3.183,814;2.859,109
1092;PRYSMIAN CABOS;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61.150.751/0002-60;92,513;88,752;97,858;94,674;93,240;93,542;93,884;85,607;89,003;84,191;74,954;77,435
1097;SG CANALIZACAO ITAUNA;SAINT-GOBAIN CANALIZACAO LTDA;28.672.087/0075-07;1.506,324;1.695,614;1.977,683;1.851,567;1.941,740;1.938,778;1.968,996;1.317,649;2.098,324;1.848,898;2.063,023;1.251,802
1098;JOST;JOST BRASIL SISTEMAS AUTOMOTIVOS LTDA;00.843.966/0001-90;257,572;245,051;273,422;243,667;252,960;273,261;299,128;293,284;272,886;287,083;269,459;240,829
1104;BRASKEM;BRASKEM S.A;42.150.391/0001-70;131.698,672;140.671,117;168.985,528;159.972,055;180.468,657;143.412,538;139.782,670;163.595,733;168.296,133;139.905,877;117.125,294;178.106,771
1106;MINASLIGAS;MINASLIGAS S.A.;16.933.590/0001-45;81.834,013;77.553,739;86.096,085;80.521,623;86.775,613;81.233,207;83.366,807;83.734,534;81.731,488;84.053,400;82.008,298;85.560,533
1108;TEKSID;TEKSID DO BRASIL LTDA;16.694.812/0001-14;22.279,874;21.060,503;24.248,414;24.691,266;25.507,627;24.796,712;26.222,716;26.382,170;25.044,371;25.628,497;25.904,465;19.372,979
1109;KINROSS;KINROSS BRASIL MINERACAO S/A;20.346.524/0001-46;100.288,440;85.960,353;103.912,295;100.112,213;85.162,886;95.094,280;95.313,490;99.287,254;99.828,104;99.550,906;97.651,410;99.338,986
1112;IBG;IBG INDUSTRIA BRASILEIRA DE GASES LTDA;67.423.152/0001-78;3.938,863;4.771,653;7.356,984;6.750,861;5.561,590;7.373,337;4.957,106;4.128,047;3.753,128;3.740,386;3.390,676;2.830,901
1124;CARAMURU;CARAMURU ALIMENTOS S.A.;00.080.671/0001-00;801,557;331,982;506,585;320,369;591,907;406,066;131,007;250,213;270,981;340,962;2.094,558;3.912,893
1127;GUARDIAN;GUARDIAN DO BRASIL VIDROS PLANOS LTDA;01.410.577/0001-34;2.987,738;2.611,263;2.879,902;2.831,058;2.877,633;2.773,949;2.799,648;2.813,968;2.850,410;2.801,955;2.711,710;2.945,113
1131;SERRA GRANDE;MINERACAO SERRA GRANDE S A;42.445.403/0001-94;9.017,747;8.163,859;9.211,509;9.004,940;9.730,888;9.054,457;9.170,959;9.315,739;8.857,455;10.107,102;10.119,040;10.748,754
1133;PROCTER&GAMBLE;PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA;01.358.874/0001-88;199,506;165,114;196,873;165,424;162,675;146,492;147,009;149,966;173,000;175,397;180,112;197,993
1135;ROMI;INDUSTRIAS ROMI S A;56.720.428/0001-63;4.793,973;6.332,980;7.537,839;6.473,022;7.229,136;6.753,113;7.009,860;6.992,525;6.850,448;6.584,525;6.901,054;4.437,927
1141;CEMIG DISTRIB;CEMIG DISTRIBUICAO S.A;06.981.180/0001-16;2.644.941,568;2.370.253,771;2.673.389,658;2.544.512,863;2.659.788,275;2.552.937,984;2.565.309,643;2.607.685,271;2.755.167,363;2.619.041,102;2.434.570,158;2.487.741,808
1142;ARCOR;ARCOR DO BRASIL LTDA.;54.360.656/0017-01;1.467,892;1.391,893;1.522,338;1.366,405;1.348,179;1.339,172;1.311,159;1.363,263;1.398,198;1.420,259;1.417,112;1.433,061
1143;ANHAMBI ALIM;ANHAMBI ALIMENTOS LTDA;78.569.688/0001-12;342,120;311,517;381,093;321,271;343,618;353,706;385,713;292,030;358,857;406,577;425,919;454,795
1144;TEXTILCANATIBA;TEXTIL CANATIBA LTDA;56.723.091/0001-48;11.576,873;10.224,119;10.156,988;9.702,992;9.016,109;8.709,513;8.940,154;9.413,353;10.427,761;10.801,802;9.822,002;6.917,812
1145;PAPEIS SUDESTE;INDUSTRIA DE PAPEIS SUDESTE LTDA EM RECUPERACAO JUDICIAL;02.886.413/0004-93;2.663,464;3.713,078;4.331,160;4.267,259;4.352,157;4.260,631;4.624,415;4.722,081;4.821,089;4.821,791;4.880,924;4.833,370
1148;HOLCIM;LAFARGEHOLCIM (BRASIL) S.A.;60.869.336/0001-17;32.224,707;28.646,736;30.616,419;30.489,718;25.341,757;32.690,592;32.346,653;30.986,121;30.703,834;31.270,840;27.918,733;26.487,458
1149;SAMARCO;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16.628.281/0001-61;25.138,604;27.462,891;28.396,891;28.797,495;28.561,916;29.823,665;33.088,730;30.480,808;29.061,029;29.912,939;29.202,821;29.031,311
1150;MICHELIN;SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO LTDA;50.567.288/0001-59;30.378,051;26.421,723;31.011,865;29.034,198;29.189,139;28.141,106;28.729,759;29.362,328;29.075,577;29.778,273;29.416,434;28.944,716
1151;STOLA;STOLA DO BRASIL LTDA;02.069.153/0001-10;1.110,083;1.232,420;1.389,138;1.037,206;1.240,364;1.307,675;1.194,213;1.213,929;1.205,573;670,408;658,191;812,023
1154;LITORAL PLAZA;LITORAL PLAZA ADMINISTRADORA DE SHOPPING CENTERS LTDA.;02.884.951/0001-04;1.135,916;1.009,754;590,698;522,369;761,998;749,840;755,705;785,004;856,649;876,286;950,814;1.074,268
1156;FIAT AUTO;FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;16.174,111;15.914,931;18.281,576;16.122,127;18.051,486;16.882,603;16.584,413;16.126,623;16.930,026;13.821,685;14.832,694;13.559,498
1158;GRANHA1;GRANHA LIGAS LTDA;05.833.746/0001-08;21.294,002;18.949,624;19.834,661;19.722,136;21.024,639;20.132,389;20.849,461;22.415,251;21.698,660;22.235,690;21.308,274;21.849,802
1159;CARGILL ULA;CARGILL AGRICOLA S A;60.498.706/0134-88;7.790,521;5.999,037;7.240,209;7.454,900;8.133,735;8.098,182;7.661,866;8.358,444;8.448,690;7.826,134;11.705,987;7.963,908
1160;OXITENO;OXITENO S A INDUSTRIA E COMERCIO;62.545.686/0001-53;4.659,578;4.095,801;4.432,398;1.587,846;1.551,305;3.834,465;4.333,407;4.436,165;4.387,534;4.459,991;4.383,144;4.525,954
1162;TRAMONTINA CL;TRAMONTINA SA CUTELARIA;90.050.238/0001-14;5.240,272;6.588,433;7.317,903;6.996,548;7.220,467;7.174,594;7.551,867;7.613,829;6.113,834;7.288,784;6.974,301;4.957,818
1164;RIAL;RIMA INDUSTRIAL S/A;18.279.158/0001-08;111.020,017;109.204,988;113.708,888;117.404,215;120.153,352;119.484,922;117.311,350;101.736,928;97.145,559;127.017,330;112.565,445;117.547,371
1165;TRANSPETRO;PETROBRAS TRANSPORTE S.A - TRANSPETRO;02.709.449/0001-59;34.558,035;30.620,717;35.784,787;30.923,123;35.567,269;32.117,028;35.382,934;39.448,663;37.452,716;36.210,799;35.403,849;35.533,717
1167;BELOCAL;MINERACAO BELOCAL LTDA;06.730.693/0001-54;10.292,681;8.965,501;10.321,684;9.666,828;10.377,241;10.031,637;10.631,246;10.505,260;10.441,106;10.569,589;9.838,455;9.735,511
1183;CIC MATRIZ;COMPANHIA INDUSTRIAL CATAGUASES;19.526.748/0001-50;1.627,823;2.089,595;2.344,948;2.181,857;2.196,101;2.285,971;2.328,381;2.355,727;2.353,005;2.409,090;2.411,855;1.837,202
1185;RIO DOCE;VALE MANGANES S.A;15.144.306/0001-99;348,119;309,511;339,048;300,618;346,522;325,959;320,756;343,260;342,853;366,362;356,898;371,968
1187;CATERPILLAR;CATERPILLAR BRASIL LTDA;61.064.911/0001-77;4.161,466;4.013,865;4.860,633;4.332,502;4.253,058;3.717,908;3.581,963;4.143,560;4.225,404;4.312,912;4.388,504;4.135,621
1189;PILKINGTON;PILKINGTON BRASIL LTDA;61.736.732/0001-39;7.131,538;6.844,405;7.313,284;6.914,620;6.959,133;6.393,549;6.699,808;6.197,186;6.035,854;5.744,869;6.170,493;5.105,913
1190;MERCEDES SBC;MERCEDES-BENZ DO BRASIL LTDA.;59.104.273/0001-29;11.323,839;10.010,437;10.908,949;10.329,830;11.282,935;11.166,224;10.889,668;10.984,202;11.268,970;11.269,961;11.280,897;9.893,559
1199;TRW;ZF AUTOMOTIVE BRASIL LTDA.;60.857.349/0001-76;5.306,429;5.031,162;4.883,039;4.982,699;5.217,747;3.576,017;3.327,741;4.458,134;4.426,555;5.599,215;5.363,577;1.454,318
1204;NITROQUIMICA;COMPANHIA NITRO QUIMICA BRASILEIRA;61.150.348/0001-50;1.946,821;1.956,128;2.274,990;1.925,581;2.091,742;2.027,280;2.149,207;2.195,751;2.274,077;2.341,119;2.401,909;2.451,030
1207;NADIR FIGUEIRE;NADIR FIGUEIREDO S.A;61.067.161/0001-97;11.315,651;10.242,116;11.864,724;11.820,364;11.968,643;9.586,006;8.400,172;8.405,387;9.961,085;11.574,887;11.450,350;12.446,407
1211;KARSTEN;KARSTEN S.A.;82.640.558/0001-04;4.386,922;4.461,988;4.984,766;4.307,015;4.615,330;4.547,831;4.556,269;5.196,419;4.960,586;5.336,187;5.223,383;3.742,057
1212;PLASTIPAK PAULINIA;PLASTIPAK PACKAGING DO BRASIL LTDA;01.115.825/0001-14;3.095,458;2.673,754;2.647,222;1.506,726;2.450,071;2.527,022;3.165,762;3.156,778;3.272,437;3.498,532;3.251,843;3.199,196
1213;UNIMINAS AGRO;UNIMINAS AGRO-INDUSTRIAL LTDA;02.236.833/0001-81;1.023,243;1.053,330;1.352,875;1.250,436;1.292,694;1.257,214;1.285,291;1.294,452;1.174,037;1.018,555;895,849;890,127
1215;METRO SP;COMPANHIA DO METROPOLITANO DE SAO PAULO;62.070.362/0001-06;36.470,657;33.214,913;36.633,477;33.000,993;33.431,832;32.683,517;32.920,391;34.031,022;34.724,365;34.124,566;34.573,617;36.813,860
1217;PLASCAR;PLASCAR INDUSTRIA DE COMPONENTES PLASTICOS LTDA;50.935.576/0001-19;2.289,406;2.488,845;2.695,151;2.381,462;2.533,204;2.644,309;2.846,687;2.902,235;2.723,166;2.714,882;2.699,127;2.459,654
1218;NESTLE;NESTLE BRASIL LTDA.;60.409.075/0001-52;9.539,189;8.534,350;9.508,989;9.261,208;9.540,533;8.383,870;9.008,386;9.458,596;9.469,889;9.995,354;9.454,678;9.896,759
1219;PETROM;PETROM PETROQUIMICA MOGI DAS CRUZES S/A;02.340.752/0001-27;3.704,171;3.315,778;3.531,775;2.584,908;3.031,400;3.545,240;3.367,728;2.887,966;3.387,171;3.109,357;3.679,454;3.283,285
1225;CSN SIDERURGIC;COMPANHIA SIDERURGICA NACIONAL;33.042.730/0001-04;244.213,447;220.706,668;239.808,137;230.365,723;245.006,231;232.016,906;237.769,409;238.088,769;232.810,592;231.931,469;206.050,666;225.262,994
1232;TEKNO;TEKNO S.A. INDUSTRIA E COMERCIO;33.467.572/0001-34;870,407;738,010;1.065,095;1.055,218;989,647;1.128,849;1.077,146;879,776;773,184;1.031,466;813,757;745,090
1235;J E J;JOHNSON & JOHNSON INDUSTRIAL LTDA;59.748.988/0001-14;7.489,844;6.799,041;7.716,621;6.982,397;6.874,770;6.544,248;6.404,297;6.800,572;7.009,996;7.151,673;7.148,657;5.894,975
1241;SCHAEFFLER;SCHAEFFLER BRASIL LTDA.;57.000.036/0001-92;6.895,733;6.565,905;7.291,545;6.304,678;6.992,564;6.924,914;6.707,438;6.829,229;6.666,663;6.666,918;6.562,415;5.695,603
1242;VOLVO;VOLVO DO BRASIL VEICULOS LTDA;43.999.424/0001-14;3.033,424;3.086,592;3.351,446;3.106,696;3.357,876;3.165,306;3.608,853;3.513,860;3.240,385;3.324,205;3.457,626;3.629,738
1243;CEBRACE;CEBRACE CRISTAL PLANO LTDA;45.070.190/0001-51;13.436,812;12.027,689;12.957,947;12.587,218;12.794,961;12.438,097;13.104,165;12.218,409;12.865,312;12.077,370;12.685,270;12.089,949
1244;MONDELEZ;MONDELEZ BRASIL LTDA;33.033.028/0001-84;8.288,325;7.708,368;8.547,289;7.735,619;7.683,710;6.843,240;7.831,953;8.013,451;7.783,730;8.227,633;8.187,213;7.830,304
