Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
56;FURNAS;FURNAS - CENTRAIS ELETRICAS S.A.;23.274.194/0001-19;0,000;0,000;0,000;0,000;0,000;0,000
63;CPFL JAGUARI;COMPANHIA JAGUARI DE ENERGIA;53.859.112/0001-69;22.697,314;21.075,841;23.667,991;19.782,338;20.162,049;18.754,788
64;LIGHT;LIGHT SERVICOS DE ELETRICIDADE S A;60.444.437/0001-46;2.443.367,219;2.448.743,566;2.739.034,607;2.082.551,944;1.908.935,551;1.679.866,965
68;ENERGISA PB;ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A;09.095.183/0001-40;420.002,788;381.514,647;414.924,803;387.492,746;407.725,864;360.782,424
72;CBA;COMPANHIA BRASILEIRA DE ALUMINIO;61.409.892/0001-73;365.905,412;319.148,076;331.239,902;334.413,964;397.036,354;371.338,693
81;COPEL DISTRIB;COPEL DISTRIBUICAO S.A.;04.368.898/0001-06;1.895.708,376;1.714.385,500;1.977.318,222;1.665.582,266;1.687.546,425;1.612.708,631
94;CPFL PIRATINGA;COMPANHIA PIRATININGA DE FORCA E LUZ;04.172.213/0001-51;804.628,785;758.623,642;844.297,735;719.523,637;721.924,388;678.081,844
103;DMED;DME DISTRIBUICAO S.A. - DMED;23.664.303/0001-04;24.762,056;22.626,729;25.129,583;23.406,083;24.514,487;24.054,517
146;DCELT;DCELT DISTRIBUIDORA CATARINENSE DE ENERGIA ELETRICA S/A;83.855.973/0001-30;18.044,975;16.802,628;19.796,100;16.488,060;15.824,507;16.035,163
151;NOVELIS;NOVELIS DO BRASIL LTDA.;60.561.800/0001-03;36.249,373;33.201,641;34.990,229;28.628,948;31.806,925;36.677,374
201;CHEMTRADE;CHEMTRADE BRASIL LTDA;03.461.875/0001-89;28.300,247;26.514,263;30.969,118;28.937,753;29.476,466;21.574,502
1036;CIPLAN;CIPLAN CIMENTO PLANALTO SA;00.057.240/0001-22;23.376,374;24.186,677;26.340,128;28.047,687;27.495,035;26.249,033
1046;DURA UBE;DEXCO S.A;97.837.181/0001-47;11.305,110;11.633,538;13.298,424;11.898,243;10.655,145;12.901,327
1051;SABESP;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;134.356,997;99.184,579;121.158,287;112.752,490;117.116,919;107.530,181
1052;APERAM;APERAM INOX AMERICA DO SUL S.A.;33.390.170/0001-89;50.718,922;56.991,307;59.193,582;56.619,311;62.079,225;56.561,981
1053;BELGO CONT;BELGO BEKAERT ARAMES LTDA;61.074.506/0001-30;8.564,955;8.750,506;10.068,919;9.235,155;10.049,596;9.092,415
1056;ARCELOR JF;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;293.627,613;270.328,156;288.079,664;274.788,627;288.294,531;275.978,163
1058;BMB VESP;BMB BELGO MINEIRA BEKAERT ARTEFATOS DE ARAME LTDA;18.786.988/0001-21;11.198,133;13.924,608;14.168,210;11.555,129;8.254,058;12.734,024
1060;CBMM;COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO;33.131.541/0001-08;31.854,347;35.005,469;38.416,742;41.188,331;40.688,153;39.223,006
1061;ICAL;ICAL INDUSTRIA DE CALCINACAO LTDA EM RECUPERACAO JUDICIAL;17.157.264/0001-56;6.857,216;6.900,546;7.579,201;7.664,877;7.999,918;6.998,859
1065;FUNDIMIG;FUNDIMIG INDUSTRIA DE PECAS E COMPONENTES LTDA;17.381.542/0001-54;3.605,501;3.625,046;4.201,327;3.246,956;3.903,679;3.784,968
1066;INTERCAST;INTERCAST S/A;02.326.750/0001-83;4.178,598;4.819,259;5.278,318;3.963,548;4.476,395;4.577,768
1067;FERLIG;FERLIG FERRO LIGA LTDA - EM RECUPERACAO JUDICIAL;22.482.228/0001-06;5.884,650;5.232,179;5.900,200;6.200,508;7.044,187;7.088,020
1068;LIASA;LIGAS DE ALUMINIO SA LIASA;17.221.771/0001-01;57.020,033;50.797,618;71.253,333;74.459,386;77.225,597;63.440,188
1072;MAGOTTEAUX;MAGOTTEAUX BRASIL LTDA;43.790.666/0001-01;8.023,741;7.575,812;8.206,360;8.106,110;7.529,069;7.645,205
1074;FLAMMA AUTOMOTIVA;FLAMMA AUTOMOTIVA S/A;01.002.612/0001-86;1.346,833;1.496,298;1.695,215;1.484,161;1.614,227;1.490,304
1079;ANGLOGOLD CSM;ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.;18.565.382/0001-66;23.471,287;24.304,331;27.177,052;27.030,949;25.123,225;25.974,834
1080;TUPI;CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL;33.039.223/0001-11;15.513,058;10.319,521;16.151,652;8.401,682;16.743,004;11.892,843
1082;UMSA;USIMINAS MECANICA SA;17.500.224/0001-65;386,791;348,096;413,054;401,235;429,391;399,864
1083;UNIFI;UNIFI DO BRASIL LTDA.;03.013.973/0001-53;6.966,330;7.347,083;8.071,136;7.544,964;7.031,573;7.605,248
1085;INONIBRAS;INONIBRAS INOCULANTES E FERRO LIGAS NIPO BRASILEIROS SA;18.891.036/0001-78;10.176,061;9.904,774;10.112,110;10.613,569;11.124,224;9.931,981
1086;WHITE MARTINS;WHITE MARTINS GASES INDUSTRIAIS LTDA;35.820.448/0001-36;162.117,611;151.588,546;172.564,979;163.652,518;55.416,441;52.423,302
1087;MERCEDES-BENZ;MERCEDES-BENZ DO BRASIL LTDA.;59.104.273/0037-30;3.224,527;3.255,563;4.033,049;2.873,952;3.062,505;2.618,610
1089;CEDRO SANTO;COMPANHIA DE FIACAO E TECIDOS SANTO ANTONIO;25.582.727/0001-55;5.070,296;5.237,559;5.724,923;5.159,567;5.377,424;5.186,980
1090;ECLSA;EMPRESA DE CIMENTOS LIZ S.A;33.920.299/0003-13;18.976,181;19.215,281;20.864,441;17.948,559;8.796,517;23.362,654
1091;NEMAK;NEMAK ALUMINIO DO BRASIL LTDA;04.721.073/0001-23;3.697,726;3.910,243;4.452,849;4.131,466;4.571,139;4.611,193
1092;PRYSMIAN CABOS;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61.150.751/0002-60;70,514;61,467;67,088;60,737;64,786;62,131
1097;SG CANALIZACAO ITAUNA;SAINT-GOBAIN CANALIZACAO LTDA;28.672.087/0075-07;1.780,112;1.529,184;1.785,442;1.678,016;1.900,400;1.668,837
1104;BRASKEM;BRASKEM S.A;42.150.391/0001-70;185.400,988;160.851,811;188.140,991;200.999,548;188.418,898;196.627,607
1106;MINASLIGAS;MINASLIGAS S.A.;16.933.590/0001-45;82.864,976;76.196,834;84.452,375;81.694,120;84.294,816;78.298,196
1108;TEKSID;TEKSID DO BRASIL LTDA;16.694.812/0001-14;3.374,564;3.095,568;3.483,876;3.290,396;3.446,279;3.376,373
1109;KINROSS;KINROSS BRASIL MINERACAO S/A;20.346.524/0001-46;98.632,936;88.887,809;96.699,996;95.503,945;101.159,452;99.124,771
1112;IBG;IBG INDUSTRIA BRASILEIRA DE GASES LTDA;67.423.152/0001-78;2.912,496;3.656,707;4.416,927;2.814,745;3.355,536;3.383,608
1124;CARAMURU;CARAMURU ALIMENTOS  S/A;00.080.671/0001-00;3.657,900;3.983,069;4.567,787;4.117,578;4.106,856;4.105,747
1127;GUARDIAN;GUARDIAN DO BRASIL VIDROS PLANOS LTDA;01.410.577/0001-34;2.865,071;2.515,406;2.797,860;2.770,416;2.800,548;2.684,570
1131;SERRA GRANDE;MINERACAO SERRA GRANDE S A;42.445.403/0001-94;10.250,299;9.545,717;10.707,303;10.248,754;10.664,326;10.171,693
1135;ROMI;ROMI S.A.;56.720.428/0001-63;3.184,974;5.010,272;6.118,718;5.044,384;5.287,828;4.694,966
1141;CEMIG DISTRIB;CEMIG DISTRIBUICAO S.A;06.981.180/0001-16;2.358.255,432;2.286.861,869;2.661.032,034;2.408.698,651;2.425.713,564;2.280.814,285
1142;ARCOR;ARCOR DO BRASIL LTDA.;54.360.656/0017-01;1.509,019;1.481,807;1.540,759;1.377,910;1.472,119;1.344,322
1144;TEXTILCANATIBA;TEXTIL CANATIBA LTDA;56.723.091/0001-48;5.499,419;10.295,698;11.250,057;9.340,645;8.883,119;10.496,693
1145;PAPEIS SUDESTE;INDUSTRIA DE PAPEIS SUDESTE LTDA EM RECUPERACAO JUDICIAL;02.886.413/0004-93;6.499,324;5.053,133;7.517,051;7.817,653;8.254,012;7.532,222
1148;HOLCIM;CSN CIMENTOS BRASIL S.A.;60.869.336/0001-17;32.330,781;28.152,329;33.966,260;32.580,467;0,000;0,000
1149;SAMARCO ES;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16.628.281/0001-61;29.809,665;29.024,694;34.909,195;35.009,084;36.917,301;33.022,682
1150;MICHELIN;SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO LTDA;50.567.288/0001-59;27.830,461;25.098,972;29.676,025;28.273,140;28.840,461;26.820,984
1151;STOLA;STOLA DO BRASIL LTDA;02.069.153/0001-10;198,167;176,235;0,000;0,000;0,000;0,000
1156;FIAT AUTO;FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;16.701.716/0001-56;14.947,248;14.893,719;17.535,672;15.428,295;16.292,542;15.784,894
1158;GRANHA1;GRANHA LIGAS LTDA;05.833.746/0001-08;23.375,859;21.472,071;22.538,850;21.416,327;20.926,141;20.377,214
1159;CARGILL ULA;CARGILL AGRICOLA S A;60.498.706/0134-88;7.392,834;6.743,187;6.991,807;6.202,707;8.400,986;7.699,161
1160;OXITENO;OXITENO S A INDUSTRIA E COMERCIO;62.545.686/0001-53;3.999,067;3.969,630;4.034,681;4.069,259;4.287,897;1.790,248
1162;TRAMONTINA CL;TRAMONTINA SA CUTELARIA;90.050.238/0001-14;4.122,392;6.272,478;7.314,402;6.257,305;6.972,961;6.061,902
1164;RIAL;RIMA INDUSTRIAL S/A;18.279.158/0001-08;141.779,914;128.099,061;131.806,531;140.482,604;134.768,186;129.348,419
1165;TRANSPETRO;PETROBRAS TRANSPORTE S.A - TRANSPETRO;02.709.449/0001-59;38.530,130;34.754,132;40.659,599;37.894,645;39.370,841;37.561,288
1183;CIC MATRIZ;COMPANHIA INDUSTRIAL CATAGUASES;19.526.748/0001-50;2.014,911;2.477,470;2.821,139;2.379,656;2.485,867;2.476,229
1185;RIO DOCE;VALE MANGANES S.A;15.144.306/0001-99;259,630;233,541;246,465;212,804;224,821;202,828
1187;CATERPILLAR;CATERPILLAR BRASIL LTDA;61.064.911/0001-77;4.382,106;3.965,603;4.691,382;3.911,863;4.403,579;3.903,308
1189;PILKINGTON;PILKINGTON BRASIL LTDA;61.736.732/0001-39;5.637,172;5.603,981;6.674,059;6.414,301;6.790,212;6.592,050
1190;MERCEDES SBC;MERCEDES-BENZ DO BRASIL LTDA.;59.104.273/0001-29;9.837,090;9.247,181;11.784,592;9.432,273;10.007,056;9.321,443
1199;ZF ENGENHEIRO COELHO;ZF AUTOMOTIVE BRASIL LTDA.;60.857.349/0001-76;5.730,254;5.129,658;5.852,355;5.334,920;6.318,141;5.917,989
1204;NITROQUIMICA;COMPANHIA NITRO QUIMICA BRASILEIRA;61.150.348/0001-50;1.795,899;1.682,581;1.988,313;2.034,631;2.014,158;2.116,025
1207;NADIR FIGUEIREDO;NADIR FIGUEIREDO S.A.;61.067.161/0001-97;12.001,783;8.626,924;10.278,687;11.889,487;9.867,997;8.682,203
1211;KARSTEN;KARSTEN S.A.;82.640.558/0001-04;3.579,613;4.298,527;4.777,405;3.916,785;4.394,596;4.279,594
1212;PLASTIPAK PAULINIA;PLASTIPAK PACKAGING DO BRASIL LTDA;01.115.825/0001-14;3.155,817;3.214,407;3.453,775;3.043,788;2.856,401;3.290,552
1213;UNIMINAS AGRO;UNIMINAS AGRO-INDUSTRIAL LTDA;02.236.833/0001-81;1.009,121;834,197;1.047,942;811,785;955,843;981,131
1215;METRO SP;COMPANHIA DO METROPOLITANO DE SAO PAULO;62.070.362/0001-06;35.715,721;34.126,476;37.659,900;34.123,653;35.723,711;33.679,524
1217;PLASCAR;PLASCAR INDUSTRIA DE COMPONENTES PLASTICOS LTDA;50.935.576/0001-19;2.898,217;3.844,858;4.108,999;3.329,017;4.058,002;3.746,855
1218;NESTLE ARACATUBA CL;NESTLE BRASIL LTDA.;60.409.075/0001-52;4.437,035;4.199,513;4.312,504;4.070,529;3.821,572;3.879,889
1219;PETROM;PETROM PETROQUIMICA MOGI DAS CRUZES S/A;02.340.752/0001-27;2.456,404;3.327,322;3.118,304;3.497,325;2.091,040;3.233,835
1232;TEKNO;TEKNO S.A. INDUSTRIA E COMERCIO;33.467.572/0001-34;763,216;618,246;614,328;548,078;574,669;488,609
1235;J E J;JOHNSON & JOHNSON INDUSTRIAL LTDA;59.748.988/0001-14;6.921,525;6.654,422;7.197,469;6.307,400;6.592,338;6.002,364
1241;SCHAEFFLER;SCHAEFFLER BRASIL LTDA.;57.000.036/0001-92;6.724,596;6.359,819;7.199,511;6.550,011;6.942,765;6.457,421
1242;VOLVO;VOLVO DO BRASIL VEICULOS LTDA;43.999.424/0001-14;2.549,755;3.183,830;4.025,655;3.187,558;3.680,079;3.308,530
1243;CEBRACE;CEBRACE CRISTAL PLANO LTDA;45.070.190/0001-51;12.531,201;11.593,828;12.451,052;11.868,276;11.823,186;11.209,423
1244;MONDELEZ;MONDELEZ BRASIL LTDA;33.033.028/0001-84;9.300,324;8.348,075;9.205,512;8.292,323;8.352,499;7.783,819
1245;AJINOMOTO 1;AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;46.344.354/0001-54;21.475,954;20.021,081;21.132,425;20.764,118;23.705,929;23.292,108
1252;PRYSMIAN SORO;PRYSMIAN CABOS E SISTEMAS DO BRASIL S/A;61.150.751/0091-35;2.802,583;2.757,780;3.121,569;2.788,550;2.520,039;2.601,449
1253;PPE FIOS;PPE FIOS ESMALTADOS S.A;62.255.682/0001-30;3.658,024;3.359,418;3.693,887;3.244,270;3.426,187;3.509,591
1254;NATURA;INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA;00.190.373/0001-72;2.732,812;2.703,219;3.084,884;2.665,581;2.760,063;2.523,009
1255;VOLKSWAGEN;VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;59.104.422/0001-50;16.690,243;15.193,700;18.981,020;11.692,485;18.898,332;14.246,775
1256;AIR LIQUIDE SP;AIR LIQUIDE BRASIL LTDA;00.331.788/0001-19;17.007,333;16.500,752;19.218,632;17.895,580;18.984,150;17.192,395
1257;PAPIRUS;PAPIRUS INDUSTRIA DE PAPEL SA;60.856.077/0001-90;4.395,226;3.947,957;4.469,830;4.298,030;4.482,155;4.350,833
1258;INPA;SMURFIT KAPPA DO BRASIL INDUSTRIA DE EMBALAGENS S.A.;23.524.952/0001-00;5.742,274;5.477,930;6.190,412;5.999,083;6.275,194;5.931,241
1259;OXICAP;OXICAP INDUSTRIA DE GASES LTDA.;43.117.399/0001-06;13.197,536;12.182,144;13.139,348;13.358,971;13.401,245;11.397,366
1261;IPAPER;SYLVAMO DO BRASIL LTDA.;52.736.949/0001-58;19.949,810;17.817,731;20.143,746;20.541,207;21.421,366;24.762,251
1264;YPE-QUIMICA;QUIMICA AMPARO LTDA;43.461.789/0001-90;8.452,427;9.242,292;11.491,922;9.499,307;10.043,721;9.841,268
1269;CPTM;COMPANHIA PAULISTA DE TRENS METROPOLITANOS - CPTM;71.832.679/0001-23;34.190,873;31.355,654;35.306,421;29.854,008;31.431,207;28.900,121
1271;ELFUSA;ELFUSA GERAL DE ELETROFUSAO LTDA;59.752.048/0001-07;14.799,159;13.862,399;12.686,735;12.397,587;15.148,287;17.538,581
1275;EKA BAHIA;NOURYON PULP AND PERFORMANCE INDUSTRIA QUIMICA BAHIA LTDA;05.869.996/0001-90;25.801,142;24.095,938;20.192,084;24.807,104;25.547,616;24.730,570
1277;FORD;FORD MOTOR COMPANY BRASIL LTDA;03.470.727/0001-20;221,864;192,522;201,042;183,868;192,944;186,426
1280;TECUMSEH;TECUMSEH DO BRASIL LTDA;45.361.425/0001-64;3.845,141;2.569,000;3.940,394;2.781,199;2.744,611;3.052,199
1283;RADICI;RADICIFIBRAS INDUSTRIA E COMERCIO LTDA;02.663.810/0001-53;2.329,950;2.702,252;2.683,222;2.700,675;2.198,772;2.794,534
1289;VISCOFAN;VISCOFAN DO BRASIL SOCIEDADE COMERCIAL E IND. LTDA.;65.019.655/0003-19;2.207,945;2.048,434;2.205,809;2.098,160;2.108,309;2.012,476
1291;ALCAN ALUMINA;RIO TINTO DO BRASIL LTDA;06.959.319/0001-25;4.288,800;3.322,551;4.501,160;3.324,211;3.515,121;3.601,725
1292;HONDA;HONDA AUTOMOVEIS DO BRASIL LTDA;01.192.333/0001-22;2.735,595;2.655,748;3.172,038;2.519,601;2.754,920;2.441,529
1298;KS PISTOES;KSPG AUTOMOTIVE BRAZIL LTDA.;57.576.274/0001-40;4.915,925;4.721,534;5.191,084;4.704,148;5.133,509;5.022,484
1300;DOHLER;DOHLER S.A.;84.683.408/0001-03;3.645,363;4.353,836;4.772,855;4.229,526;4.905,626;4.725,701
1306;DEDINI;DEDINI S/A INDUSTRIAS DE BASE;50.109.271/0014-72;3.765,723;3.338,178;3.975,494;2.887,815;3.212,054;2.963,894
1321;AIR PRODUCTS;AIR PRODUCTS BRASIL LTDA.;43.843.358/0001-99;11.593,974;11.218,943;9.555,604;10.933,136;12.429,117;12.241,455
1322;NITRIFLEX;NITRIFLEX S A INDUSTRIA E COMERCIO;42.147.496/0001-70;1.645,599;1.676,716;1.890,145;1.583,873;1.693,494;1.544,200
1323;TREIBACHER;IMERYS FUSED MINERALS SALTO LTDA.;03.625.966/0001-02;6.669,917;6.717,018;7.165,430;8.770,140;7.943,643;8.544,223
1324;SILICON;NOVA ERA SILICON S/A;19.795.665/0001-67;18.265,077;16.565,693;18.269,662;17.561,170;18.139,343;17.695,075
1327;VOITH PAPER;VOITH PAPER MAQUINAS E EQUIPAMENTOS LTDA;61.243.119/0001-80;2.509,843;2.482,738;2.874,145;2.499,950;2.664,020;2.398,405
1330;ALBRAS;ALBRAS ALUMINIO BRASILEIRO S/A;05.053.020/0003-06;620.423,189;560.457,645;621.084,494;600.315,647;617.556,645;595.624,364
1332;ARAUCO PAINEIS;ARAUCO INDUSTRIA DE PAINEIS S.A.;00.606.549/0001-24;13.007,537;8.851,464;13.349,498;13.123,797;12.719,074;12.174,485
1333;MILI 3 BARRAS;MILI S/A;78.908.266/0002-05;21.525,870;19.231,551;21.835,285;20.469,625;21.987,478;21.870,216
1347;CIMENTO ITAMBE;CIA DE CIMENTO ITAMBE;76.630.573/0001-60;21.740,309;20.500,896;21.546,189;19.660,379;23.190,513;22.869,341
1349;ALUNORTE;ALUNORTE ALUMINA DO NORTE DO BRASIL S/A;05.848.387/0001-54;125.173,277;133.419,305;155.940,853;122.149,823;145.386,916;150.015,950
1358;FIBRAPLAC;FIBRAPLAC PAINEIS DE MADEIRA LTDA;04.176.791/0001-66;325,397;296,741;4.594,227;5.688,092;6.632,839;5.717,350
1360;ABC PLAZA SHOP;CONDOMINIO GRAND PLAZA SHOPPING;01.993.418/0001-00;2.415,021;2.270,598;2.489,354;2.179,751;2.058,879;1.894,787
1361;BRACELL BA;BRACELL BAHIA SPECIALTY CELLULOSE S.A.;69.037.133/0001-39;8.017,276;7.364,422;8.551,079;8.983,398;9.930,472;13.866,207
1363;SCHULZ;SCHULZ S/A;84.693.183/0001-68;13.890,297;19.172,145;20.427,821;17.189,514;15.833,293;14.412,194
1364;SANTHER MATRIZ;SANTHER FABRICA DE PAPEL SANTA THEREZINHA S/A;61.101.895/0001-45;15.561,018;15.751,514;18.031,264;17.451,771;16.804,554;16.770,556
1365;PARAMOUNT STA;PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO SA;61.565.222/0003-08;1.749,526;2.145,383;2.452,753;1.851,872;1.894,999;1.707,832
1367;ALTONA;ELECTRO ACO ALTONA S A;82.643.537/0001-34;2.553,038;3.118,324;3.359,338;2.946,945;3.364,665;3.447,158
1368;PLAST CREME EI;PLASTICOS CREMER SA;82.726.316/0001-20;251,859;238,840;230,150;213,467;0,000;0,000
1372;BOSCH;ROBERT BOSCH LIMITADA;45.990.181/0001-89;4.837,767;4.508,599;5.247,512;4.536,520;4.719,665;4.204,480
1373;CREMER;CREMER S.A.;82.641.325/0001-18;3.398,033;3.064,087;3.510,204;2.808,364;3.299,847;3.119,453
1374;SAMA;SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL;15.104.599/0001-80;5.169,005;4.475,752;5.517,544;2.952,057;5.136,766;4.847,506
1377;SG CANALIZACAO BARRA MANSA;SAINT-GOBAIN CANALIZACAO LTDA;28.672.087/0001-62;5.901,208;6.223,457;6.918,952;6.598,196;6.673,256;6.603,803
1380;PARAMOUNT SUL;PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO SA;61.565.222/0013-80;1.488,260;1.838,650;1.956,059;1.595,137;1.616,480;1.489,402
1382;INDUPA;UNIPAR INDUPA DO BRASIL S.A.;61.460.325/0001-41;54.692,726;50.239,727;57.687,513;52.049,884;35.540,068;58.527,051
1383;KLABIN;KLABIN S.A.;89.637.490/0001-45;7.221,291;6.258,231;7.095,771;6.923,312;7.083,106;6.757,876
1384;KIMBERLY CLARK;KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA;02.290.277/0001-21;18.888,558;17.868,602;16.525,675;16.526,748;16.651,442;6.827,793
1389;MMCOFAP;MARELLI COFAP DO BRASIL LTDA.;02.865.246/0001-51;2.725,615;2.587,360;2.841,905;2.567,981;0,000;0,000
1395;SUZANO MUCURI CARGA;SUZANO S.A.;16.404.287/0001-55;164,545;94,760;211,817;768,186;1.369,238;170,610
1400;GM CONVENCIONAL SE;GENERAL MOTORS DO BRASIL LTDA;59.275.792/0001-50;14.981,959;16.515,741;20.382,294;16.499,105;18.730,931;14.915,817
1401;OBER;OBER SA INDUSTRIA E COMERCIO;43.238.138/0001-36;2.758,775;2.883,210;3.416,233;2.915,635;3.253,543;3.179,740
1402;CLARIOS;CLARIOS ENERGY SOLUTIONS BRASIL LTDA;01.376.079/0001-12;7.519,096;6.713,197;7.292,818;7.075,153;7.445,595;7.268,906
1405;VILLARES SUMAR;VILLARES METALS SA;42.566.752/0004-07;20.340,872;18.350,962;17.707,323;17.914,856;19.898,368;19.694,118
1407;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;46.068.425/0001-33;5.330,384;5.032,008;6.361,863;5.063,005;5.054,597;4.446,292
1409;EATON;EATON LTDA;54.625.819/0001-73;6.023,222;4.906,333;5.867,796;5.092,481;5.509,556;5.321,790
1410;CARGILL MAIRIN;CARGILL AGRICOLA S A;60.498.706/0078-36;1.640,825;1.116,805;1.525,176;1.541,873;1.626,363;1.410,156
1413;SANTISTA WORK;SANTISTA TEXTIL LTDA.;61.520.607/0001-97;8.040,393;10.462,512;11.591,308;10.601,979;10.645,640;10.525,245
1415;ARLANXEO TSR CAXIAS;ARLANXEO BRASIL S.A.;29.667.227/0001-77;17.153,012;15.327,017;15.779,514;13.800,014;15.131,778;12.650,640
